,,,2020,,,,2021,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024,,,,,,,,,,,2025,,,,,,,,,,,,2026,,,,,,,
,,Grupo,Subgrupo,Clase,Subclase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Artículo,Ponderación,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre ,Diciembre ,Enero,Febrero ,Marzo,Abril ,Mayo,Junio,Julio,Agosto
112101,0112101 Carne corriente de res,0.4533,105.98,108.76,112.36,118.03,124.36,125.87,126.8,129.3,130.59,131.5,136.94,141.6,146.21,148.66,150.49,152.46,153.6,155.21,160.37,162.27,163.49,163.55,163.63,163.44,163.83,164.07,164.78,165.8,166.82,166.85,166.93,166.51,165.93,165.85,166.33,166.29,166.65,166.78,166.63,166.99,167.2,166.83,166.9,167.32,167.19,167.28,167.88,167.73,167.64,167.1,166.98,167.68,168.72,169.09,168.33,168.73,169.68,171.49,171.66,171.63,172.91,177.95,180.5,181.85,183.89,189.44,189.97,191.95,193.42,193.85,194.85
112102,0112102 Carne de bola,0.028,105.4,107.58,110.04,115.24,119.85,121.12,121.95,123.27,124.1,124.39,129.27,133.08,137.67,139.87,141.55,143.92,145.06,146.48,150.21,151.99,153.04,153.54,153.98,154.3,154.51,154.74,155.6,155.52,156.05,156.38,156.23,156.5,156.59,156.36,156.39,156.59,156.36,156.82,157.19,156.95,157.12,157.67,157.49,157.31,156.94,157.66,157.94,158.12,158.59,158.34,158.51,158.71,158.99,159.25,158.92,159.53,160.52,161.87,162.04,162.93,163.72,168.33,171.73,173.06,174.92,179.47,182.5,184.4,188.09,189.2,189.94
112103,0112103 Carne molida de res,0.0953,106.36,108.94,112.99,120.33,125.86,127.02,128.46,129.59,130.49,131.38,134.47,138.76,142.84,145.54,147.61,149.51,150.28,151.85,154.18,154.67,154.82,155.35,155.79,156.28,156.5,157.11,157.43,158.18,158.68,158.44,158.56,158.69,158.15,157.79,156.61,156.39,156.32,155.09,155.23,155.82,155.75,155.98,155.85,155.83,155.94,156.4,155.86,155.88,155.25,155.18,155.4,156.23,158.07,158.3,158.64,158.84,159.7,160.5,160.78,161.24,161.58,166.31,170.54,172.5,175.31,179.35,180.93,182.78,186.21,187.54,187.35
1122,01122 Carne de aves,2.4568,109.66,117.94,118.55,126.37,125.63,125.33,124.96,126.11,128.68,131.11,140.93,140.98,139.66,137.82,137.81,138.71,139.19,143.48,146.84,148.58,154.35,152.61,144.94,143.79,139.91,140.4,145.9,152.47,152.25,150.99,149.81,144.38,145.48,148.3,153.46,153.55,149.79,146.36,147.4,150.32,149.66,149.07,146.3,140.18,144.81,152.99,155.92,156.79,150.34,142.08,146.57,150.38,150.51,147.57,144.55,143.72,147.63,151.5,158.58,157.33,156.07,155.2,161.99,174.24,171.14,167.62,161.84,151.49,156.02,160.17,161.84
112201,0112201 Pollo fresco,2.3299,109.89,118.35,118.95,126.97,126.16,125.81,125.41,126.57,129.16,131.62,141.75,141.75,140.3,138.34,138.31,139.23,139.71,144.08,147.42,149.22,155.17,153.31,145.26,144.05,139.98,140.51,146.2,152.99,152.7,151.32,150.08,144.5,145.67,148.61,153.91,154.03,150.13,146.62,147.64,150.6,149.87,149.25,146.35,140.04,144.78,153.25,156.24,157.14,150.41,141.79,146.51,150.45,150.6,147.5,144.4,143.54,147.55,151.53,158.85,157.56,156.24,155.35,162.39,174.91,171.68,168.03,162.07,151.37,155.98,160.25,161.99
112202,0112202 Carne de gallina,0.0599,107.44,113.63,115.15,121.21,121.25,121.26,121.41,122.47,123.99,125.43,129.97,131.81,133.72,135.02,135.1,136.39,136.62,138.36,141.8,142.33,144.58,143.59,142.43,142.92,142.32,141.74,144.34,147.4,149.02,150.78,150.99,147.57,146.47,147.2,151.43,150.98,149.62,146.64,148.8,152.29,154.07,154.38,154.09,149.71,153.05,156.57,158.62,159,157.72,155.61,154.56,157.03,156.95,157.05,155.05,155,157.85,160.41,164.01,162.15,162.59,161.37,162.96,170.77,169.37,168.12,165.71,161.22,165.4,167.79,167.9
112203,0112203 Pechuga de pollo,0.067,103.83,107.29,107.53,109.95,111.14,112.4,112.5,113.53,115.92,118.69,121.96,122.15,122.53,122.35,122.83,122.84,123.51,127.28,131.02,132.06,134.42,136.24,136.26,135.68,135.1,135.16,136.51,138.79,139.48,139.89,139.23,137.62,137.88,138.33,139.81,139.39,138.02,137.17,137.93,138.73,138.52,138.08,137.35,136.55,138.31,140.77,142.31,142.73,141.23,140.16,141.42,142.05,141.67,141.48,140.39,139.99,141.33,142.37,144.5,144.97,144.56,144.48,147.09,154.21,153.86,152.94,150.46,147.05,148.92,150.66,151.22
1123,01123 Carne de cerdo,0.5812,100.75,102.14,105.48,112.54,119.29,121.84,123.07,123.78,125.86,126.17,123.77,124,125.12,126.08,128.39,130.49,132.4,136.06,139.29,141.12,141.86,142.91,143.56,144.98,146.36,146.92,148.16,151.03,153.13,154.86,154.91,153.97,151.42,150.1,149.96,150.27,150.55,150.52,152.26,153.86,154.71,155.61,155.78,155.33,155.1,155.33,154.96,154.93,155.99,156.11,156.93,157.65,157.7,157.47,157.55,157.66,157.41,157.93,158.86,160.36,162.2,164.01,165.25,166.76,167.7,168.31,168.38,168.54,167.45,166.78,166.2
112301,0112301 Carne corriente de cerdo,0.4712,100.6,101.94,105.26,112.55,119.39,121.89,123.1,123.72,125.76,125.9,123.33,123.64,124.98,125.91,128.43,130.68,132.63,136.4,139.57,141.35,142.02,143.04,143.52,145.02,146.33,146.89,148.29,151.21,153.32,155.25,155.29,154.29,151.58,150.14,149.97,150.34,150.66,150.64,152.73,154.46,155.29,156.22,156.27,155.69,155.42,155.7,155.29,155.15,156.33,156.55,157.42,158.23,158.25,157.96,158.16,158.29,157.91,158.5,159.5,160.97,162.97,164.92,166.34,167.87,168.96,169.56,169.58,169.79,168.54,167.71,167.15
112302,0112302 Chuleta de cerdo,0.033,100.77,102.35,105.24,110.58,116.87,118.25,118.6,119.92,122.28,124.16,123.04,123.85,124.06,124.64,125.83,126.94,127.96,130.18,134.63,136.73,138.07,138.82,140.76,141.73,142.26,142.67,142.79,144.65,146.04,145.83,146.23,145.59,144.57,144.06,144.14,144.21,144.11,144.29,145.62,145.36,145.34,145.47,146.22,146.04,147.04,147.28,146.75,146.63,147.32,148.06,148.53,148.89,149,148.8,148.18,147.8,148.09,148.16,148.15,149.1,149.48,150.84,151.62,151.97,151.75,152.68,153.04,152.79,151.8,151.86,151.49
